GEO,YEAR,price_index,median_income,mortgage_rate,baseline_price,index_2018,estimated_home_price,loan_amount,monthly_rate,n_payments,monthly_payment,affordability_ratio
"Calgary, Alberta",2021,105.55833333333334,140900.0,2.45,510000,99.63333333333333,540328.7052525929,432262.96420207433,0.002041666666666667,300,1928.3373007454109,16.423028821110666
"Calgary, Alberta",2022,122.79166666666667,141000.0,4.108653846153846,510000,99.63333333333333,628542.1545667448,502833.7236533959,0.0034238782051282048,300,2684.401227034826,22.845967889658095
"Calgary, Alberta",2023,126.46666666666665,140000.0,6.9355769230769235,510000,99.63333333333333,647353.6299765807,517882.9039812646,0.005779647435897436,300,3639.032578357961,31.191707814496812
"Calgary, Alberta",2024,131.5,135800.0,6.772115384615385,510000,99.63333333333333,673118.099698896,538494.4797591169,0.005643429487179487,300,3728.0439591618247,32.94295103824882
"Montréal, Quebec",2021,135.525,123700.0,2.45,420000,103.36666666666667,550665.9142212189,440532.73137697513,0.002041666666666667,300,1965.2289658485686,19.064468545014407
"Montréal, Quebec",2022,150.42499999999998,119100.0,4.108653846153846,420000,103.36666666666667,611207.6749435664,488966.13995485316,0.0034238782051282048,300,2610.3684862991704,26.300941927447564
"Montréal, Quebec",2023,151.64166666666668,120300.0,6.9355769230769235,420000,103.36666666666667,616151.2415349887,492920.99322799104,0.005779647435897436,300,3463.6315258209715,34.549940407191734
"Montréal, Quebec",2024,152.025,126500.0,6.772115384615385,420000,103.36666666666667,617708.8036117381,494167.04288939055,0.005643429487179487,300,3421.1612714855582,32.45370376112783
"Toronto, Ontario",2021,110.41666666666667,134600.0,2.45,850000,103.45833333333333,907168.7474828837,725734.997986307,0.002041666666666667,300,3237.5243381229643,28.863515644484078
"Toronto, Ontario",2022,115.40833333333332,133800.0,4.108653846153846,850000,103.45833333333333,948179.6214256946,758543.6971405557,0.0034238782051282048,300,4049.52081687986,36.3185723486983
"Toronto, Ontario",2023,115.05833333333334,134000.0,6.9355769230769235,850000,103.45833333333333,945304.0676600888,756243.254128071,0.005779647435897436,300,5313.930654554002,47.58743869749853
"Toronto, Ontario",2024,114.2,136000.0,6.772115384615385,850000,103.45833333333333,938252.1143777688,750601.6915022151,0.005643429487179487,300,5196.480571153161,45.85129915723377
"Vancouver, British Columbia",2021,120.71666666666665,131500.0,2.45,1150000,108.90833333333335,1274688.1934348457,1019750.5547478766,0.002041666666666667,300,4549.136046864501,41.51302856454298
"Vancouver, British Columbia",2022,128.525,133100.0,4.108653846153846,1150000,108.90833333333335,1357139.0312954318,1085711.2250363454,0.0034238782051282048,300,5796.11988535202,52.256527891979154
"Vancouver, British Columbia",2023,128.23333333333332,135100.0,6.9355769230769235,1150000,108.90833333333335,1354059.224118142,1083247.3792945135,0.005779647435897436,300,7611.706185644285,67.60952940616686
"Vancouver, British Columbia",2024,128.48333333333332,135400.0,6.772115384615385,1150000,108.90833333333335,1356699.058841533,1085359.2470732264,0.005643429487179487,300,7514.03614458921,66.59411649562077
